title,country,date,points,link,img
Paradise PD,world,2021-03-13,112,https://flixpatrol.com/title/paradise-pd/,https://flixpatrol.com/runtime/cache/files/posters/d/w72/dessj4kx0y9p61vm9qbe3wm8gxk.jpg
Sisyphus: The Myth,world,2021-03-13,102,https://flixpatrol.com/title/sisyphus-the-myth/,https://flixpatrol.com/runtime/cache/files/posters/q/w72/qk5ilup3a7hz5mduikrn9d2ynv2.jpg
Ginny & Georgia,world,2021-03-14,628,https://flixpatrol.com/title/ginny-georgia/,https://flixpatrol.com/runtime/cache/files/posters/e/w72/e4aqizyq8eetgnzmq6wiffqozbz.jpg
New Amsterdam,world,2021-03-14,499,https://flixpatrol.com/title/new-amsterdam/,https://flixpatrol.com/runtime/cache/files/posters/v/w72/vxdupgswkkfizwp8ypdcmabmv4l.jpg
The One,world,2021-03-14,452,https://flixpatrol.com/title/the-one-2021/,https://flixpatrol.com/runtime/cache/files/posters/k/w72/kll9vbirdeesltjhn83pcncvguz.jpg
Behind Her Eyes,world,2021-03-14,359,https://flixpatrol.com/title/behind-her-eyes/,https://flixpatrol.com/runtime/cache/files/posters/s/w72/sfd90nif778kobfmpdbtow4xtm7.jpg
Love Alarm,world,2021-03-14,328,https://flixpatrol.com/title/love-alarm/,https://flixpatrol.com/runtime/cache/files/posters/s/w72/s87jyawtrlllmsywxted1l8henb.jpg
Paradise PD,world,2021-03-14,186,https://flixpatrol.com/title/paradise-pd/,https://flixpatrol.com/runtime/cache/files/posters/d/w72/dessj4kx0y9p61vm9qbe3wm8gxk.jpg
Riverdale,world,2021-03-14,180,https://flixpatrol.com/title/riverdale/,https://flixpatrol.com/runtime/cache/files/posters/g/w72/gskv297rlbyzlatu1xzf8ubbxp0.jpg
The Bold Type,world,2021-03-14,178,https://flixpatrol.com/title/the-bold-type/,https://flixpatrol.com/runtime/cache/files/posters/2/w72/2etaedu5q78pgyrvzsxnwtxg8dm.jpg
Vincenzo,world,2021-03-14,143,https://flixpatrol.com/title/vincenzo/,https://flixpatrol.com/runtime/cache/files/posters/d/w72/dvxjgedqxhl9ouot2wkbhpqihgd.jpg
Snowpiercer,world,2021-03-14,119,https://flixpatrol.com/title/snowpiercer-2020/,https://flixpatrol.com/runtime/cache/files/posters/9/w72/95xqpsqwvqdrob3rxun4lryjrbw.jpg
Ginny & Georgia,world,2021-03-15,611,https://flixpatrol.com/title/ginny-georgia/,https://flixpatrol.com/runtime/cache/files/posters/e/w72/e4aqizyq8eetgnzmq6wiffqozbz.jpg
The One,world,2021-03-15,529,https://flixpatrol.com/title/the-one-2021/,https://flixpatrol.com/runtime/cache/files/posters/k/w72/kll9vbirdeesltjhn83pcncvguz.jpg
New Amsterdam,world,2021-03-15,491,https://flixpatrol.com/title/new-amsterdam/,https://flixpatrol.com/runtime/cache/files/posters/v/w72/vxdupgswkkfizwp8ypdcmabmv4l.jpg
Behind Her Eyes,world,2021-03-15,352,https://flixpatrol.com/title/behind-her-eyes/,https://flixpatrol.com/runtime/cache/files/posters/s/w72/sfd90nif778kobfmpdbtow4xtm7.jpg
Love Alarm,world,2021-03-15,255,https://flixpatrol.com/title/love-alarm/,https://flixpatrol.com/runtime/cache/files/posters/s/w72/s87jyawtrlllmsywxted1l8henb.jpg
Paradise PD,world,2021-03-15,209,https://flixpatrol.com/title/paradise-pd/,https://flixpatrol.com/runtime/cache/files/posters/d/w72/dessj4kx0y9p61vm9qbe3wm8gxk.jpg
The Bold Type,world,2021-03-15,191,https://flixpatrol.com/title/the-bold-type/,https://flixpatrol.com/runtime/cache/files/posters/2/w72/2etaedu5q78pgyrvzsxnwtxg8dm.jpg
Vincenzo,world,2021-03-15,175,https://flixpatrol.com/title/vincenzo/,https://flixpatrol.com/runtime/cache/files/posters/d/w72/dvxjgedqxhl9ouot2wkbhpqihgd.jpg
Riverdale,world,2021-03-15,129,https://flixpatrol.com/title/riverdale/,https://flixpatrol.com/runtime/cache/files/posters/g/w72/gskv297rlbyzlatu1xzf8ubbxp0.jpg
The Blacklist,world,2021-03-15,102,https://flixpatrol.com/title/the-blacklist/,https://flixpatrol.com/runtime/cache/files/posters/b/w72/bgbqcw4fe9b6wsosc6fb4ffvzsw.jpg
Ginny & Georgia,world,2021-03-16,616,https://flixpatrol.com/title/ginny-georgia/,https://flixpatrol.com/runtime/cache/files/posters/e/w72/e4aqizyq8eetgnzmq6wiffqozbz.jpg
The One,world,2021-03-16,521,https://flixpatrol.com/title/the-one-2021/,https://flixpatrol.com/runtime/cache/files/posters/k/w72/kll9vbirdeesltjhn83pcncvguz.jpg
New Amsterdam,world,2021-03-16,490,https://flixpatrol.com/title/new-amsterdam/,https://flixpatrol.com/runtime/cache/files/posters/v/w72/vxdupgswkkfizwp8ypdcmabmv4l.jpg
The Lost Pirate Kingdom,world,2021-03-16,364,https://flixpatrol.com/title/the-lost-pirate-kingdom/,https://flixpatrol.com/runtime/cache/files/posters/g/w72/gqzpvysbt5fgyvyrsjuwqa2xiay.jpg
