title,country,date,points,link,img
We Can Be Heroes,world,2021-01-06,614,https://flixpatrol.com/title/we-can-be-heroes-2020/,https://flixpatrol.com/runtime/cache/files/posters/g/w72/gzy5hezrl40zmejmexjwkazqluz.jpg
Death to 2020,world,2021-01-06,379,https://flixpatrol.com/title/death-to-2020/,https://flixpatrol.com/runtime/cache/files/posters/w/w72/w9fpfspkeibdn6wwdhfgniwdvjm.jpg
Dracula Untold,world,2021-01-06,309,https://flixpatrol.com/title/dracula-untold/,https://flixpatrol.com/runtime/cache/files/posters/4/w72/4oy4e0dp6lrwrszfx8ny8eybj8v.jpg
The Midnight Sky,world,2021-01-06,202,https://flixpatrol.com/title/the-midnight-sky/,https://flixpatrol.com/runtime/cache/files/posters/5/w72/51jxck77zcqlzblkrdl9qho6kuh.jpg
2012,world,2021-01-06,139,https://flixpatrol.com/title/2012/,https://flixpatrol.com/runtime/cache/files/posters/5/w72/5tiw9ntuxxy8ixsvskjqfdvzpyg.jpg
Mr. Peabody & Sherman,world,2021-01-06,131,https://flixpatrol.com/title/mr-peabody-sherman/,https://flixpatrol.com/runtime/cache/files/posters/w/w72/wgrwvfhmdgithsdld2965oukj5e.jpg
Asphalt Burning,world,2021-01-06,129,https://flixpatrol.com/title/asphalt-burning/,https://flixpatrol.com/runtime/cache/files/posters/f/w72/f4xfu5burddeogt3j6drqgnjfzk.jpg
Inside Man,world,2021-01-06,123,https://flixpatrol.com/title/inside-man/,https://flixpatrol.com/runtime/cache/files/posters/z/w72/z6wyruvk1lf60r4smwetfduvgsm.jpg
The Grinch,world,2021-01-06,118,https://flixpatrol.com/title/the-grinch/,https://flixpatrol.com/runtime/cache/files/posters/r/w72/rwqvj6z8kpdsbt7xpjvbcltxq90.jpg
Room,world,2021-01-06,106,https://flixpatrol.com/title/room/,https://flixpatrol.com/runtime/cache/files/posters/e/w72/eqfckchufct1frzloavxbb4jhwq.jpg
We Can Be Heroes,world,2021-01-07,607,https://flixpatrol.com/title/we-can-be-heroes-2020/,https://flixpatrol.com/runtime/cache/files/posters/g/w72/gzy5hezrl40zmejmexjwkazqluz.jpg
Death to 2020,world,2021-01-07,320,https://flixpatrol.com/title/death-to-2020/,https://flixpatrol.com/runtime/cache/files/posters/w/w72/w9fpfspkeibdn6wwdhfgniwdvjm.jpg
Dracula Untold,world,2021-01-07,245,https://flixpatrol.com/title/dracula-untold/,https://flixpatrol.com/runtime/cache/files/posters/4/w72/4oy4e0dp6lrwrszfx8ny8eybj8v.jpg
Asphalt Burning,world,2021-01-07,189,https://flixpatrol.com/title/asphalt-burning/,https://flixpatrol.com/runtime/cache/files/posters/f/w72/f4xfu5burddeogt3j6drqgnjfzk.jpg
Room,world,2021-01-07,148,https://flixpatrol.com/title/room/,https://flixpatrol.com/runtime/cache/files/posters/e/w72/eqfckchufct1frzloavxbb4jhwq.jpg
The Midnight Sky,world,2021-01-07,142,https://flixpatrol.com/title/the-midnight-sky/,https://flixpatrol.com/runtime/cache/files/posters/5/w72/51jxck77zcqlzblkrdl9qho6kuh.jpg
2012,world,2021-01-07,128,https://flixpatrol.com/title/2012/,https://flixpatrol.com/runtime/cache/files/posters/5/w72/5tiw9ntuxxy8ixsvskjqfdvzpyg.jpg
Mr. Peabody & Sherman,world,2021-01-07,128,https://flixpatrol.com/title/mr-peabody-sherman/,https://flixpatrol.com/runtime/cache/files/posters/w/w72/wgrwvfhmdgithsdld2965oukj5e.jpg
Inside Man,world,2021-01-07,124,https://flixpatrol.com/title/inside-man/,https://flixpatrol.com/runtime/cache/files/posters/z/w72/z6wyruvk1lf60r4smwetfduvgsm.jpg
The Grinch,world,2021-01-07,123,https://flixpatrol.com/title/the-grinch/,https://flixpatrol.com/runtime/cache/files/posters/r/w72/rwqvj6z8kpdsbt7xpjvbcltxq90.jpg
Pieces of a Woman,world,2021-01-08,636,https://flixpatrol.com/title/pieces-of-a-woman/,https://flixpatrol.com/runtime/cache/files/posters/o/w72/ogufllhfbfx5bpk6lzbwfvbw1w.jpg
We Can Be Heroes,world,2021-01-08,552,https://flixpatrol.com/title/we-can-be-heroes-2020/,https://flixpatrol.com/runtime/cache/files/posters/g/w72/gzy5hezrl40zmejmexjwkazqluz.jpg
Death to 2020,world,2021-01-08,252,https://flixpatrol.com/title/death-to-2020/,https://flixpatrol.com/runtime/cache/files/posters/w/w72/w9fpfspkeibdn6wwdhfgniwdvjm.jpg
Asphalt Burning,world,2021-01-08,169,https://flixpatrol.com/title/asphalt-burning/,https://flixpatrol.com/runtime/cache/files/posters/f/w72/f4xfu5burddeogt3j6drqgnjfzk.jpg
Dracula Untold,world,2021-01-08,149,https://flixpatrol.com/title/dracula-untold/,https://flixpatrol.com/runtime/cache/files/posters/4/w72/4oy4e0dp6lrwrszfx8ny8eybj8v.jpg
Room,world,2021-01-08,134,https://flixpatrol.com/title/room/,https://flixpatrol.com/runtime/cache/files/posters/e/w72/eqfckchufct1frzloavxbb4jhwq.jpg
The Grinch,world,2021-01-08,121,https://flixpatrol.com/title/the-grinch/,https://flixpatrol.com/runtime/cache/files/posters/r/w72/rwqvj6z8kpdsbt7xpjvbcltxq90.jpg
Mr. Peabody & Sherman,world,2021-01-08,112,https://flixpatrol.com/title/mr-peabody-sherman/,https://flixpatrol.com/runtime/cache/files/posters/w/w72/wgrwvfhmdgithsdld2965oukj5e.jpg
2012,world,2021-01-08,103,https://flixpatrol.com/title/2012/,https://flixpatrol.com/runtime/cache/files/posters/5/w72/5tiw9ntuxxy8ixsvskjqfdvzpyg.jpg
Inside Man,world,2021-01-08,95,https://flixpatrol.com/title/inside-man/,https://flixpatrol.com/runtime/cache/files/posters/z/w72/z6wyruvk1lf60r4smwetfduvgsm.jpg
Pieces of a Woman,world,2021-01-09,687,https://flixpatrol.com/title/pieces-of-a-woman/,https://flixpatrol.com/runtime/cache/files/posters/o/w72/ogufllhfbfx5bpk6lzbwfvbw1w.jpg
We Can Be Heroes,world,2021-01-09,581,https://flixpatrol.com/title/we-can-be-heroes-2020/,https://flixpatrol.com/runtime/cache/files/posters/g/w72/gzy5hezrl40zmejmexjwkazqluz.jpg
Death to 2020,world,2021-01-09,226,https://flixpatrol.com/title/death-to-2020/,https://flixpatrol.com/runtime/cache/files/posters/w/w72/w9fpfspkeibdn6wwdhfgniwdvjm.jpg
Room,world,2021-01-09,143,https://flixpatrol.com/title/room/,https://flixpatrol.com/runtime/cache/files/posters/e/w72/eqfckchufct1frzloavxbb4jhwq.jpg
Mr. Peabody & Sherman,world,2021-01-09,122,https://flixpatrol.com/title/mr-peabody-sherman/,https://flixpatrol.com/runtime/cache/files/posters/w/w72/wgrwvfhmdgithsdld2965oukj5e.jpg
The Grinch,world,2021-01-09,120,https://flixpatrol.com/title/the-grinch/,https://flixpatrol.com/runtime/cache/files/posters/r/w72/rwqvj6z8kpdsbt7xpjvbcltxq90.jpg
Asphalt Burning,world,2021-01-09,114,https://flixpatrol.com/title/asphalt-burning/,https://flixpatrol.com/runtime/cache/files/posters/f/w72/f4xfu5burddeogt3j6drqgnjfzk.jpg
Dracula Untold,world,2021-01-09,107,https://flixpatrol.com/title/dracula-untold/,https://flixpatrol.com/runtime/cache/files/posters/4/w72/4oy4e0dp6lrwrszfx8ny8eybj8v.jpg
The Emoji Movie,world,2021-01-09,99,https://flixpatrol.com/title/the-emoji-movie/,https://flixpatrol.com/runtime/cache/files/posters/f/w72/fvr5etd00qupul0yctvfz8msjca.jpg
The Midnight Sky,world,2021-01-09,98,https://flixpatrol.com/title/the-midnight-sky/,https://flixpatrol.com/runtime/cache/files/posters/5/w72/51jxck77zcqlzblkrdl9qho6kuh.jpg
Pieces of a Woman,world,2021-01-10,668,https://flixpatrol.com/title/pieces-of-a-woman/,https://flixpatrol.com/runtime/cache/files/posters/o/w72/ogufllhfbfx5bpk6lzbwfvbw1w.jpg
We Can Be Heroes,world,2021-01-10,565,https://flixpatrol.com/title/we-can-be-heroes-2020/,https://flixpatrol.com/runtime/cache/files/posters/g/w72/gzy5hezrl40zmejmexjwkazqluz.jpg
Death to 2020,world,2021-01-10,213,https://flixpatrol.com/title/death-to-2020/,https://flixpatrol.com/runtime/cache/files/posters/w/w72/w9fpfspkeibdn6wwdhfgniwdvjm.jpg
Room,world,2021-01-10,162,https://flixpatrol.com/title/room/,https://flixpatrol.com/runtime/cache/files/posters/e/w72/eqfckchufct1frzloavxbb4jhwq.jpg
Asphalt Burning,world,2021-01-10,123,https://flixpatrol.com/title/asphalt-burning/,https://flixpatrol.com/runtime/cache/files/posters/f/w72/f4xfu5burddeogt3j6drqgnjfzk.jpg
The Midnight Sky,world,2021-01-10,117,https://flixpatrol.com/title/the-midnight-sky/,https://flixpatrol.com/runtime/cache/files/posters/5/w72/51jxck77zcqlzblkrdl9qho6kuh.jpg
Tower Heist,world,2021-01-10,116,https://flixpatrol.com/title/tower-heist/,https://flixpatrol.com/runtime/cache/files/posters/z/w72/ze2trl2nhulolimimvbkjjid3yg.jpg
The Grinch,world,2021-01-10,107,https://flixpatrol.com/title/the-grinch/,https://flixpatrol.com/runtime/cache/files/posters/r/w72/rwqvj6z8kpdsbt7xpjvbcltxq90.jpg
Mr. Peabody & Sherman,world,2021-01-10,104,https://flixpatrol.com/title/mr-peabody-sherman/,https://flixpatrol.com/runtime/cache/files/posters/w/w72/wgrwvfhmdgithsdld2965oukj5e.jpg
The Emoji Movie,world,2021-01-10,94,https://flixpatrol.com/title/the-emoji-movie/,https://flixpatrol.com/runtime/cache/files/posters/f/w72/fvr5etd00qupul0yctvfz8msjca.jpg
Pieces of a Woman,world,2021-01-11,657,https://flixpatrol.com/title/pieces-of-a-woman/,https://flixpatrol.com/runtime/cache/files/posters/o/w72/ogufllhfbfx5bpk6lzbwfvbw1w.jpg
We Can Be Heroes,world,2021-01-11,553,https://flixpatrol.com/title/we-can-be-heroes-2020/,https://flixpatrol.com/runtime/cache/files/posters/g/w72/gzy5hezrl40zmejmexjwkazqluz.jpg
Room,world,2021-01-11,174,https://flixpatrol.com/title/room/,https://flixpatrol.com/runtime/cache/files/posters/e/w72/eqfckchufct1frzloavxbb4jhwq.jpg
